#{"t_start": 1740379874.6132984, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,212,560.872121
2.0,232,561.402052
2.0,238,562.020707
1.0,205,562.521204
2.0,225,563.027158
8.0,448,564.222703
1.0,196,564.74877
3.0,271,565.41863
0.0,171,565.865189
3.0,273,566.552795
3.0,265,567.188423
5.0,347,568.087145
3.0,268,568.760923
3.0,262,569.397801
3.0,286,570.083655
2.0,231,570.638192
2.0,232,571.199076
0.0,156,571.612518
2.0,248,572.194972
2.0,226,572.732661
2.0,236,573.331893
2.0,250,573.931352
3.0,290,574.630345
0.0,173,575.034541
3.0,278,575.692595
3.0,290,576.342275
0.0,157,576.711885
2.0,254,577.304489
2.0,222,577.804079
0.0,175,578.257586
3.0,275,578.937729
3.0,268,579.616741
3.0,302,580.363774
2.0,221,580.991431
2.0,211,581.547964
2.0,246,582.113233
2.0,235,582.685953
2.0,231,583.193207
3.0,255,583.891535
2.0,233,584.430502
0.0,162,584.798938
2.0,248,585.429968
3.0,263,586.104794
2.0,228,586.644837
2.0,222,587.144094
3.0,273,587.766198
3.0,284,588.442662
3.0,268,589.184736
3.0,280,589.913206
0.0,180,590.364974
2.0,237,590.926645
5.0,377,591.875687
2.0,253,592.506173
2.0,244,593.054515
2.0,239,593.643306
2.0,242,594.24107
2.0,231,594.827311
2.0,233,595.40601
4.0,344,596.29895
4.0,349,597.269014
2.0,243,597.839405
3.0,279,598.545856
2.0,244,599.179981
2.0,238,599.830733
2.0,226,600.609605
4.0,318,601.600547
2.0,239,602.27459
0.0,169,602.70586
0.0,153,603.071548
0.0,161,603.465497
0.0,166,603.889161
0.0,173,604.302508
3.0,278,605.035747
2.0,234,605.57912
4.0,314,606.354167
2.0,222,606.895461
2.0,213,607.45641
2.0,213,607.968578
2.0,228,608.513145
0.0,182,608.936952
1.0,204,609.405925
1.0,201,609.871589
3.0,289,610.579383
1.0,193,611.086459
7.0,413,612.128392
7.0,408,613.228137
1.0,197,613.716961
2.0,224,614.264187
5.0,373,615.169421
1.0,207,615.648983
4.0,328,616.440741
8.0,307,617.337519
10.0,413,618.418983
3.0,268,619.142955
2.0,215,619.685717
2.0,224,620.248532
4.0,339,621.105083
2.0,240,621.68985
2.0,233,622.256249
0.0,157,622.698462
2.0,234,623.25127
3.0,297,623.976195
0.0,158,624.356366
2.0,229,624.938606
0.0,161,625.325399
2.0,253,625.957155
1.0,188,626.45481
3.0,275,627.120606
0.0,173,627.533301
2.0,229,628.101767
3.0,269,628.74817
0.0,176,629.159672
2.0,227,629.690692
0.0,160,630.08943
2.0,236,630.708912
0.0,154,631.087317
3.0,314,631.879368
0.0,168,632.289072
2.0,232,632.86224
0.0,155,633.229548
0.0,163,633.59675
4.0,332,634.408849
0.0,156,634.766497
0.0,177,635.170929
2.0,221,635.711708
0.0,160,636.072935
3.0,285,636.817902
3.0,302,637.574841
0.0,161,638.156616
2.0,231,638.733875
3.0,284,639.547515
2.0,245,640.143903
0.0,182,640.568482
2.0,233,641.218197
0.0,154,641.586396
2.0,233,642.145106
0.0,176,642.579427
3.0,287,643.243547
0.0,156,643.616329
2.0,224,644.123244
3.0,261,644.826087
3.0,288,645.572976
2.0,211,646.087724
2.0,220,646.608404
3.0,274,647.294118
3.0,262,647.983429
3.0,260,648.676314
1.0,174,649.104573
0.0,180,649.549706
4.0,323,650.428577
0.0,161,650.810496
2.0,235,651.358751
4.0,329,652.16577
0.0,172,652.540614
2.0,237,653.112133
0.0,167,653.487018
0.0,162,653.860305
3.0,296,654.579286
0.0,172,654.974554
3.0,296,655.762719
3.0,280,656.447809
1.0,205,656.9682
3.0,263,657.581298
3.0,267,658.213908
2.0,240,658.779899
6.0,407,659.907403
2.0,228,660.437861
0.0,180,660.877012
5.0,370,661.835351
3.0,276,662.519539
2.0,225,663.050306
2.0,201,663.553672
3.0,272,664.221462
2.0,221,664.740019
3.0,285,665.446422
3.0,278,666.082672
2.0,217,666.619544
2.0,213,667.138296
1.0,228,667.651337
2.0,241,668.276036
7.0,275,668.959316
8.0,466,670.163273
2.0,235,670.776985
3.0,262,671.385649
4.0,346,672.094297
0.0,154,672.271442
0.0,169,672.468185
0.0,183,672.665392
2.0,227,672.941912
2.0,246,673.400149
2.0,255,674.008378
0.0,179,674.430721
0.0,163,674.801742
2.0,249,675.3741
2.0,242,676.00404
3.0,302,676.744234
3.0,302,677.49174
2.0,214,677.846661
0.0,160,678.029416
2.0,223,678.303424
2.0,242,678.599212
0.0,165,678.788291
0.0,155,679.101111
0.0,172,679.501892
3.0,269,680.129731
2.0,207,680.649824
2.0,224,681.188922
3.0,300,681.881885
3.0,277,682.536021
5.0,375,683.503982
2.0,247,684.133834
0.0,183,684.534393
2.0,248,684.816313
0.0,174,685.040084
